Expedition,Site,Hole,Program,Longitude,Latitude,Water Depth (m),Core Recovered (m)
38,339,,DSDP,6.3175,67.2108,1262,50
38,340,,DSDP,6.3063,67.2078,1206,67
38,341,,DSDP,6.1107,67.335,1439,213
38,342,,DSDP,4.9337,67.9507,1303,48
38,343,,DSDP,5.7622,68.7152,3131,59
38,344,,DSDP,7.8753,76.1497,2156,140
38,345,,DSDP,-1.2377,69.8372,3195,189
38,346,,DSDP,-8.6855,69.8892,732,120
38,347,,DSDP,-8.6967,69.8718,745,13
38,348,,DSDP,-12.462,68.503,1763,214
38,349,,DSDP,-8.0967,69.2068,915,81
38,350,,DSDP,-8.2947,67.0557,1275,49
38,351,,DSDP,-11.3043,67.789,1844
38,352,,DSDP,-12.471,63.6495,990,26
38,352,A,DSDP,-12.471,63.6495,990,5
39,353,,DSDP,-44.0375,10.915,5165,5
